Coin,Target,Model,R2,MSE,MAE,Mean,Std,Var
Ethereum,percentChange1h,RandomForest,0.4468,0.3882,0.4543,-0.0885,0.6129,0.3756
Ethereum,percentChange24h,LinearRegression,0.1636,11.9795,2.8042,-0.4495,1.3520,1.8279
Ethereum,percentChange24h,KNN,0.9356,0.9231,0.6698,-0.4869,3.6808,13.5484
Ethereum,percentChange24h,SVM,0.5831,5.9712,1.4719,-1.1047,2.2336,4.9889
Ethereum,percentChange24h,DecisionTree,0.9554,0.6385,0.6225,-0.4136,3.6903,13.6186
Ethereum,percentChange24h,RandomForest,0.9639,0.5177,0.5286,-0.4617,3.7009,13.6970
Ethereum,percentChange7d,LinearRegression,0.9000,30.3075,4.5434,21.8979,16.8242,283.0540
Ethereum,percentChange7d,KNN,0.9955,1.3771,0.7745,21.8791,17.3095,299.6183
Ethereum,percentChange7d,SVM,0.9716,8.5973,2.0660,21.2218,16.1036,259.3264
Ethereum,percentChange7d,DecisionTree,0.9953,1.4107,0.8348,21.8586,17.3772,301.9676
Ethereum,percentChange7d,RandomForest,0.9968,0.9799,0.6564,21.8802,17.3387,300.6306
Ethereum,percentChange30d,LinearRegression,0.0812,19.8644,3.2333,57.5952,1.7032,2.9008
Ethereum,percentChange30d,KNN,0.9045,2.0647,0.9726,57.9209,4.6091,21.2441
Ethereum,percentChange30d,SVM,0.1417,18.5565,2.4447,56.8361,2.4788,6.1446
Ethereum,percentChange30d,DecisionTree,0.9051,2.0510,1.1324,57.8115,4.5240,20.4664
Ethereum,percentChange30d,RandomForest,0.9372,1.3572,0.8056,57.9043,4.5801,20.9776
Ethereum,percentChange60d,LinearRegression,0.6734,7.6533,2.0115,31.9100,3.9535,15.6305
Ethereum,percentChange60d,KNN,0.9660,0.7961,0.5999,31.9228,4.8262,23.2926
Ethereum,percentChange60d,SVM,0.7756,5.2588,1.4412,32.0425,3.2980,10.8767
Ethereum,percentChange60d,DecisionTree,0.9643,0.8355,0.7052,32.0071,4.8300,23.3291
Ethereum,percentChange60d,RandomForest,0.9766,0.5489,0.5450,32.0059,4.8493,23.5159
Ethereum,percentChange90d,LinearRegression,0.5729,2.6121,1.3258,-5.7541,1.8663,3.4832
Ethereum,percentChange90d,KNN,0.9222,0.4760,0.4962,-5.8412,2.3656,5.5962
